threads_in,threads_out,type,time
0, 0,'send_packet',18
0, 0,'transcoding',29
0, 0,'send_packet',3106
0, 0,'transcoding',3116
0, 0,'send_packet',2537
0, 0,'transcoding',2542
0, 0,'send_packet',2698
0, 0,'transcoding',2715
0, 0,'send_packet',2402
0, 0,'transcoding',2413
0, 0,'send_packet',2824
0, 0,'transcoding',2832
0, 0,'send_packet',1882
0, 0,'transcoding',1884
0, 0,'send_packet',2226
0, 0,'transcoding',2233
0, 0,'send_packet',2747
0, 0,'transcoding',2757
0, 0,'send_packet',2151
0, 0,'transcoding',2157
0, 0,'send_packet',2337
0, 0,'transcoding',2347
0, 0,'send_packet',2065
0, 0,'transcoding',2070
0, 0,'send_packet',2417
0, 0,'transcoding',2421
0, 0,'send_packet',2512
0, 0,'transcoding',2517
0, 0,'send_packet',2874
0, 0,'transcoding',2878
0, 0,'send_packet',3268
0, 0,'transcoding',3271
0, 0,'send_packet',1966
0, 0,'transcoding',1970
0, 0,'send_packet',1755
0, 0,'send_frame',8
0, 0,'transcoding',1767
0, 0,'send_packet',1705
0, 0,'send_frame',12
0, 0,'transcoding',1727
0, 0,'send_packet',2707
0, 0,'send_frame',16
0, 0,'transcoding',2738
0, 0,'send_packet',1923
0, 0,'send_frame',15
0, 0,'transcoding',1957
0, 0,'send_packet',1969
0, 0,'send_frame',8
0, 0,'transcoding',1995
0, 0,'send_packet',1631
0, 0,'send_frame',9
0, 0,'transcoding',1643
0, 0,'send_packet',2691
0, 0,'send_frame',18
0, 0,'transcoding',2729
0, 0,'send_packet',2368
0, 0,'send_frame',15
0, 0,'transcoding',2956
0, 0,'send_packet',1122
0, 0,'send_frame',15
0, 0,'transcoding',1479
0, 0,'send_packet',523
0, 0,'send_frame',10
0, 0,'transcoding',544
0, 0,'send_packet',4310
0, 0,'send_frame',24
0, 0,'transcoding',5089
0, 0,'send_packet',139
0, 0,'send_frame',9
0, 0,'transcoding',399
0, 0,'send_packet',499
0, 0,'send_frame',16
0, 0,'transcoding',523
0, 0,'send_packet',2355
0, 0,'send_frame',17
0, 0,'transcoding',2777
0, 0,'send_packet',341
0, 0,'send_frame',17
0, 0,'transcoding',705
0, 0,'send_packet',601
0, 0,'send_frame',16
0, 0,'transcoding',625
0, 0,'send_packet',2578
0, 0,'send_frame',11
0, 0,'transcoding',2867
0, 0,'send_packet',68
0, 0,'send_frame',11
0, 0,'transcoding',82
0, 0,'send_packet',3229
0, 0,'send_frame',9
0, 0,'transcoding',3535
0, 0,'send_packet',51
0, 0,'send_frame',4
0, 0,'transcoding',57
0, 0,'send_packet',5080
0, 0,'send_frame',13
0, 0,'transcoding',5430
0, 0,'send_packet',1946
0, 0,'send_frame',17
0, 0,'transcoding',2295
0, 0,'send_packet',81
0, 0,'send_frame',21
0, 0,'transcoding',511
0, 0,'send_packet',1183
0, 0,'send_frame',9
0, 0,'transcoding',1541
0, 0,'send_packet',129
0, 0,'send_frame',8
0, 0,'transcoding',387
0, 0,'send_packet',652
0, 0,'send_frame',32
0, 0,'transcoding',1129
0, 0,'send_packet',476
0, 0,'send_frame',35
0, 0,'transcoding',1549
0, 0,'send_packet',130
0, 0,'send_frame',22
0, 0,'transcoding',486
0, 0,'send_packet',321
0, 0,'send_frame',19
0, 0,'transcoding',627
0, 0,'send_packet',1728
0, 0,'send_frame',16
0, 0,'transcoding',2137
0, 0,'send_packet',1490
0, 0,'send_frame',14
0, 0,'transcoding',1883
0, 0,'send_packet',3391
0, 0,'send_frame',13
0, 0,'transcoding',3731
0, 0,'send_packet',1728
0, 0,'send_frame',14
0, 0,'transcoding',2044
0, 0,'send_packet',2965
0, 0,'send_frame',12
0, 0,'transcoding',3242
0, 0,'send_packet',283
0, 0,'send_frame',11
0, 0,'transcoding',551
0, 0,'send_packet',1082
0, 0,'send_frame',14
0, 0,'transcoding',1110
0, 0,'send_packet',791
0, 0,'send_frame',12
0, 0,'transcoding',808
0, 0,'send_packet',1583
0, 0,'send_frame',15
0, 0,'transcoding',1959
0, 0,'send_packet',80
0, 0,'send_frame',9
0, 0,'transcoding',429
0, 0,'send_packet',94
0, 0,'send_frame',14
0, 0,'transcoding',412
0, 0,'send_packet',365
0, 0,'send_frame',12
0, 0,'transcoding',756
0, 0,'send_packet',107
0, 0,'send_frame',10
0, 0,'transcoding',425
0, 0,'send_packet',1569
0, 0,'send_frame',18
0, 0,'transcoding',1951
0, 0,'send_packet',712
0, 0,'send_frame',13
0, 0,'transcoding',1043
0, 0,'send_packet',105
0, 0,'send_frame',6
0, 0,'transcoding',417
0, 0,'send_packet',1335
0, 0,'send_frame',13
0, 0,'transcoding',1790
0, 0,'send_packet',8525
0, 0,'send_frame',16
0, 0,'transcoding',8910
0, 0,'send_packet',107
0, 0,'send_frame',8
0, 0,'transcoding',482
0, 0,'send_packet',100
0, 0,'send_frame',9
0, 0,'transcoding',430
0, 0,'send_packet',658
0, 0,'send_frame',14
0, 0,'transcoding',987
0, 0,'send_packet',1433
0, 0,'send_frame',13
0, 0,'transcoding',1758
0, 0,'send_packet',774
0, 0,'send_frame',10
0, 0,'transcoding',1068
0, 0,'send_packet',2219
0, 0,'send_frame',12
0, 0,'transcoding',2540
0, 0,'send_packet',2220
0, 0,'send_frame',14
0, 0,'transcoding',2519
0, 0,'send_packet',675
